0	0	3
1	0	3
2	0	2
2	1	1
3	1	1
3	0	2
4	0	3
5	1	1
5	4	1
5	2	1
6	0	3
7	6	1
7	0	2
8	0	2
8	5	1
9	0	3
10	0	3
11	5	1
11	0	1
11	7	1
12	0	2
12	1	1
13	1	1
13	6	1
13	0	1
14	4	1
14	0	1
14	10	1
15	7	1
15	0	2
16	0	3
17	3	1
17	15	1
17	0	1
18	16	1
18	10	2
19	4	1
19	2	1
19	5	1
20	10	1
20	6	1
20	3	1
21	0	1
21	13	1
21	5	1
22	2	1
22	22	1
22	13	1
23	13	1
23	5	1
23	1	1
24	0	1
24	9	1
24	1	1
25	13	1
25	14	1
25	4	1
26	10	1
26	1	1
26	0	1
27	18	1
27	4	1
27	13	1
28	12	1
28	5	1
28	0	1
29	9	1
29	10	1
29	17	1
30	9	1
30	0	1
30	5	1
31	12	1
31	22	1
31	0	1
32	7	1
32	2	1
32	10	1
33	2	1
33	33	1
33	0	1
34	0	2
34	33	1
35	0	1
35	1	1
35	25	1
36	22	1
36	3	1
36	0	1
37	17	1
37	36	1
37	0	1
38	0	1
38	1	1
38	27	1
39	10	1
39	26	1
39	31	1
40	17	1
40	9	1
40	0	1
41	14	1
41	27	1
41	31	1
42	33	1
42	37	1
42	0	1
43	14	1
43	28	1
43	8	1
44	0	1
44	25	1
44	14	1
45	24	1
45	17	1
45	25	1
46	6	1
46	35	1
46	28	1
47	5	1
47	28	1
47	9	1
48	35	1
48	0	1
48	26	1
49	0	2
49	12	1
50	10	1
50	5	1
50	0	1
51	0	1
51	2	1
51	22	1
52	10	1
52	36	1
52	15	1
53	35	1
53	1	1
53	31	1
54	2	1
54	48	1
54	4	1
55	4	1
55	9	1
55	0	1
56	1	1
56	36	1
56	51	1
57	37	1
57	0	1
57	5	1
58	2	1
58	35	1
58	37	1
59	41	1
59	17	1
59	47	1
60	0	2
60	46	1
61	31	1
61	54	1
61	46	1
62	28	1
62	62	1
62	0	1
63	28	1
63	52	1
63	13	1
64	13	1
64	32	1
64	28	1
65	59	1
65	6	1
65	34	1
66	28	1
66	23	1
66	65	1
67	13	1
67	0	1
67	2	1
68	0	1
68	9	1
68	23	1
69	35	1
69	40	1
69	27	1
70	31	1
70	0	1
70	46	1
71	30	1
71	0	1
71	51	1
72	58	1
72	36	1
72	0	1
73	15	1
73	0	2
74	36	1
74	3	1
74	66	1
75	53	1
75	10	1
75	4	1
76	65	1
76	12	1
76	64	1
77	37	1
77	24	1
77	17	1
78	22	1
78	0	1
78	42	1
79	5	1
79	73	1
79	28	1
80	78	1
80	16	1
80	0	1
81	47	1
81	4	1
81	0	1
82	6	1
82	8	1
82	17	1
83	0	1
83	71	1
83	51	1
84	65	1
84	0	1
84	14	1
85	81	1
85	31	1
85	69	1
86	65	1
86	7	1
86	27	1
87	22	1
87	50	1
87	59	1
88	0	1
88	36	1
88	74	1
89	33	1
89	0	1
89	37	1
90	83	1
90	33	1
90	73	1
91	55	1
91	88	1
91	1	1
92	33	1
92	92	1
92	6	1
93	30	1
93	0	1
93	76	1
94	74	1
94	25	1
94	48	1
95	46	1
95	81	1
95	72	1
96	12	1
96	30	1
96	43	1
97	58	1
97	65	1
97	22	1
98	40	1
98	26	1
98	10	1
99	12	2
99	9	1

Для продолжения нажмите любую клавишу . . . 
